Quality	Count	sample
33	12492.0	BC14_run3
34	19227.0	BC14_run3
35	30993.0	BC14_run3
36	52809.0	BC14_run3
37	89585.0	BC14_run3
38	199195.0	BC14_run3
39	1288517.0	BC14_run3
16	29.0	BC15_run3
17	60.0	BC15_run3
18	65.0	BC15_run3
19	134.0	BC15_run3
20	235.0	BC15_run3
21	354.0	BC15_run3
22	474.0	BC15_run3
23	570.0	BC15_run3
24	731.0	BC15_run3
25	907.0	BC15_run3
26	1123.0	BC15_run3
27	1717.0	BC15_run3
28	2141.0	BC15_run3
29	2650.0	BC15_run3
30	3697.0	BC15_run3
31	4917.0	BC15_run3
32	6282.0	BC15_run3
33	8311.0	BC15_run3
34	11591.0	BC15_run3
35	16992.0	BC15_run3
36	27058.0	BC15_run3
37	52780.0	BC15_run3
38	243689.0	BC15_run3
39	2782640.0	BC15_run3
9	2.0	BC10_run2
10	0.0	BC10_run2
11	2.0	BC10_run2
12	1.0	BC10_run2
13	1.0	BC10_run2
14	3.0	BC10_run2
15	9.0	BC10_run2
16	66.0	BC10_run2
17	136.0	BC10_run2
18	212.0	BC10_run2
19	411.0	BC10_run2
20	772.0	BC10_run2
21	1290.0	BC10_run2
22	1547.0	BC10_run2
23	1978.0	BC10_run2
24	2772.0	BC10_run2
25	3641.0	BC10_run2
26	4530.0	BC10_run2
27	5096.0	BC10_run2
28	5417.0	BC10_run2
29	6438.0	BC10_run2
30	8077.0	BC10_run2
31	10085.0	BC10_run2
32	14650.0	BC10_run2
33	13722.0	BC10_run2
34	16106.0	BC10_run2
35	21560.0	BC10_run2
36	32592.0	BC10_run2
37	67849.0	BC10_run2
38	331753.0	BC10_run2
39	7014117.0	BC10_run2
