GC_Content	Count	sample
90	50.5	BC10_run1
91	32.5	BC10_run1
92	34.0	BC10_run1
93	32.0	BC10_run1
94	31.0	BC10_run1
95	27.0	BC10_run1
96	20.5	BC10_run1
97	18.0	BC10_run1
98	13.0	BC10_run1
99	6.5	BC10_run1
100	4.0	BC10_run1
0	3.0	BC15_run2
1	3.5	BC15_run2
2	7.5	BC15_run2
3	10.0	BC15_run2
4	8.0	BC15_run2
5	9.0	BC15_run2
6	11.0	BC15_run2
7	13.5	BC15_run2
8	20.0	BC15_run2
9	28.5	BC15_run2
10	40.5	BC15_run2
11	162.5	BC15_run2
