Length	Count	sample
36	9084.0	BC16_run1
38	13414.0	BC16_run1
40	15932.0	BC16_run1
42	19915.0	BC16_run1
44	27958.0	BC16_run1
46	35110.0	BC16_run1
48	39955.0	BC16_run1
50	51108.0	BC16_run1
52	59736.0	BC16_run1
54	67055.0	BC16_run1
56	79017.0	BC16_run1
58	83869.0	BC16_run1
60	91647.0	BC16_run1
62	105877.0	BC16_run1
64	120656.0	BC16_run1
66	130508.0	BC16_run1
68	206070.0	BC16_run1
70	292767.0	BC16_run1
72	598122.0	BC16_run1
74	6377851.0	BC16_run1
24	4912.0	BC14_run1
26	7075.0	BC14_run1
28	5514.0	BC14_run1
30	4351.0	BC14_run1
32	4920.0	BC14_run1
34	7459.0	BC14_run1
36	9801.0	BC14_run1
38	9777.0	BC14_run1
40	9066.0	BC14_run1
42	10103.0	BC14_run1
44	13735.0	BC14_run1
46	13769.0	BC14_run1
48	15188.0	BC14_run1
50	24935.0	BC14_run1
52	217025.0	BC14_run1
54	30036.0	BC14_run1
56	36249.0	BC14_run1
58	219223.0	BC14_run1
60	36821.0	BC14_run1
62	34317.0	BC14_run1
64	38228.0	BC14_run1
66	34160.0	BC14_run1
68	68683.0	BC14_run1
70	106416.0	BC14_run1
72	207216.0	BC14_run1
74	2615333.0	BC14_run1
24	1885.0	BC14_run3
26	2716.0	BC14_run3
28	2228.0	BC14_run3
30	1902.0	BC14_run3
32	2043.0	BC14_run3
34	3240.0	BC14_run3
36	4128.0	BC14_run3
38	4552.0	BC14_run3
40	3896.0	BC14_run3
42	4528.0	BC14_run3
44	6354.0	BC14_run3
46	6462.0	BC14_run3
48	6964.0	BC14_run3
50	12008.0	BC14_run3
52	86561.0	BC14_run3
54	12838.0	BC14_run3
56	16450.0	BC14_run3
58	88224.0	BC14_run3
60	16378.0	BC14_run3
62	15227.0	BC14_run3
64	17221.0	BC14_run3
66	15578.0	BC14_run3
68	31921.0	BC14_run3
70	49738.0	BC14_run3
72	98318.0	BC14_run3
74	1214716.0	BC14_run3
24	296.0	BC15_run3
26	910.0	BC15_run3
28	998.0	BC15_run3
30	1263.0	BC15_run3
32	1646.0	BC15_run3
34	2792.0	BC15_run3
36	2894.0	BC15_run3
38	4133.0	BC15_run3
40	4649.0	BC15_run3
42	5851.0	BC15_run3
44	8011.0	BC15_run3
46	9171.0	BC15_run3
48	10237.0	BC15_run3
50	13998.0	BC15_run3
52	18962.0	BC15_run3
54	16192.0	BC15_run3
56	18583.0	BC15_run3
58	23864.0	BC15_run3
60	20527.0	BC15_run3
62	24448.0	BC15_run3
64	29632.0	BC15_run3
66	33652.0	BC15_run3
68	64001.0	BC15_run3
70	95702.0	BC15_run3
72	221744.0	BC15_run3
74	2534991.0	BC15_run3
24	4494.0	BC10_run2
26	6746.0	BC10_run2
28	6815.0	BC10_run2
30	7457.0	BC10_run2
32	8455.0	BC10_run2
34	6863.0	BC10_run2
36	7657.0	BC10_run2
38	7727.0	BC10_run2
40	4453.0	BC10_run2
42	4446.0	BC10_run2
44	6578.0	BC10_run2
46	8919.0	BC10_run2
48	6273.0	BC10_run2
50	6670.0	BC10_run2
52	8863.0	BC10_run2
54	8890.0	BC10_run2
56	8417.0	BC10_run2
58	10105.0	BC10_run2
60	8853.0	BC10_run2
62	10294.0	BC10_run2
64	17837.0	BC10_run2
66	19061.0	BC10_run2
68	92419.0	BC10_run2
70	161915.0	BC10_run2
72	478183.0	BC10_run2
74	6646445.0	BC10_run2
